订单ID,订单日期,发货日期,配送方式,区域,省份,客户ID,客户名称,客户类型,产品类别,产品名称,单价,数量,折扣率,销售额,利润,利润率,销售员,支付方式
ORD-202500683,2024-02-01,2024-02-03,京东物流,东北,沈阳,C01138,胡磊,个人消费者,电子产品,充电器,1563.86,7,0.2,8757.62,2212.17,0.2526,郑丽,支付宝
ORD-202400672,2024-02-03,2024-02-09,专线物流,东北,哈尔滨,C01029,徐超勇,政府机构,家居用品,加湿器,1309.12,20,0.15,22255.04,2657.25,0.1194,吴敏,货到付款
ORD-202500611,2024-02-07,2024-02-12,京东物流,华东,杭州,C01086,李伟敏,个人消费者,电子产品,智能手表,1052.57,47,0,49470.79,1340.66,0.0271,赵强,对公转账
ORD-202500846,2024-02-08,2024-02-14,京东物流,华北,济南,C01145,赵强,企业客户,家居用品,电风扇,2311.77,36,0,83223.72,22403.83,0.2692,张明,对公转账
ORD-202500257,2024-02-09,2024-02-15,京东物流,西北,西安,C01192,杨芳,企业客户,食品饮料,饼干,196.11,6,0.1,1058.99,336.02,0.3173,周伟,信用卡
ORD-202500326,2024-02-16,2024-02-18,专线物流,华南,厦门,C01016,陈静强,个人消费者,电子产品,笔记本电脑,4173.05,9,0.2,30045.96,7301.17,0.243,刘洋,微信支付
ORD-202400218,2024-02-17,2024-02-24,顺丰速运,东北,长春,C01110,刘强磊,教育机构,电子产品,智能手机,7438.99,11,0.2,65463.11,6899.81,0.1054,王芳,货到付款
ORD-202400389,2024-02-17,2024-02-23,顺丰速运,华北,北京,C01146,赵娜,企业客户,服装鞋帽,围巾,1667.81,48,0.1,72049.39,11556.72,0.1604,周伟,信用卡
ORD-202400625,2024-02-18,2024-02-21,顺丰速运,华中,长沙,C01182,李涛艳,个人消费者,服装鞋帽,运动鞋,1438.03,19,0,27322.57,9232.3,0.3379,赵强,微信支付
ORD-202400520,2024-02-20,2024-02-22,顺丰速运,华南,福州,C01144,赵杰,个人消费者,办公用品,订书机,332.16,45,0.3,10463.04,1647.93,0.1575,郑丽,信用卡
ORD-202400613,2024-02-22,2024-02-25,顺丰速运,华中,合肥,C01144,赵杰,个人消费者,电子产品,平板电脑,2963.14,42,0.25,93338.91,20273.21,0.2172,陈静,微信支付
ORD-202400049,2024-02-23,2024-03-01,京东物流,西南,成都,C01107,周娜强,教育机构,电子产品,平板电脑,3572.75,28,0.2,80029.6,13861.13,0.1732,孙磊,微信支付
ORD-202400409,2024-02-23,2024-02-29,京东物流,华东,上海,C01057,杨洋,教育机构,家居用品,加湿器,2779.81,28,0,77834.68,-5541.83,-0.0712,郑丽,支付宝
ORD-202400177,2024-02-24,2024-02-26,标准快递,东北,沈阳,C01084,王芳,个人消费者,办公用品,订书机,385.66,39,0.15,12784.63,4295.64,0.336,刘洋,货到付款
ORD-202400715,2024-02-24,2024-02-25,标准快递,华南,深圳,C01127,孙敏强,政府机构,电子产品,智能手表,2118.78,46,0.2,77971.1,7516.41,0.0964,陈静,信用卡
ORD-202500888,2024-02-25,2024-03-02,自提,华北,济南,C01173,赵娟洋,政府机构,服装鞋帽,外套,496.36,4,0,1985.44,422.3,0.2127,王芳,微信支付
ORD-202400051,2024-02-26,2024-02-29,顺丰速运,华南,深圳,C01045,赵芳,政府机构,办公用品,笔记本,167.42,1,0.2,133.94,31.64,0.2362,孙磊,信用卡
ORD-202400920,2024-02-27,2024-03-02,自提,华南,广州,C01161,陈伟洋,企业客户,电子产品,耳机,5218.28,38,0.15,168550.44,56700.37,0.3364,张明,微信支付
ORD-202400646,2024-02-29,2024-03-04,标准快递,西北,兰州,C01092,李涛,教育机构,办公用品,文件夹,31.18,24,0.15,636.07,118.5,0.1863,刘洋,银行卡
ORD-202400213,2024-03-01,2024-03-04,自提,东北,大连,C01174,王丽强,企业客户,家居用品,收纳盒,464.34,21,0.05,9263.58,2248.27,0.2427,王芳,信用卡
ORD-202500477,2024-03-01,2024-03-05,京东物流,华南,深圳,C01070,陈超,个人消费者,电子产品,平板电脑,2881.54,40,0.2,92209.28,14089.58,0.1528,陈静,信用卡
ORD-202500836,2024-03-01,2024-03-08,自提,华东,合肥,C01026,朱芳,教育机构,电子产品,智能手机,1697.39,48,0.15,69253.51,10332.62,0.1492,刘洋,信用卡
ORD-202400578,2024-03-02,2024-03-05,自提,东北,哈尔滨,C01166,徐娟洋,个人消费者,家居用品,加湿器,236.11,13,0.3,2148.6,164.8,0.0767,王芳,支付宝
ORD-202500279,2024-03-02,2024-03-05,标准快递,东北,长春,C01032,周超芳,企业客户,电子产品,平板电脑,3225.46,33,0.2,85152.14,7910.63,0.0929,刘洋,微信支付
ORD-202500109,2024-03-03,2024-03-04,顺丰速运,西北,西安,C01173,赵娟洋,政府机构,家居用品,电风扇,458.13,48,0.2,17592.19,-679.06,-0.0386,刘洋,银行卡
ORD-202500694,2024-03-03,2024-03-06,标准快递,东北,沈阳,C01136,张磊静,企业客户,电子产品,移动电源,3163.83,34,0,107570.22,32335.61,0.3006,刘洋,银行卡
ORD-202500903,2024-03-03,2024-03-10,顺丰速运,东北,沈阳,C01183,赵芳勇,企业客户,服装鞋帽,背包,804.7,16,0,12875.2,189.27,0.0147,周伟,支付宝
ORD-202500119,2024-03-05,2024-03-07,京东物流,西北,兰州,C01036,张强,个人消费者,办公用品,白板,361.01,22,0.2,6353.78,1409.27,0.2218,刘洋,货到付款
ORD-202500381,2024-03-06,2024-03-12,自提,华北,北京,C01126,徐强敏,个人消费者,办公用品,订书机,129.75,47,0,6098.25,1348.32,0.2211,王芳,货到付款
ORD-202400545,2024-03-07,2024-03-11,专线物流,华东,南京,C01033,李静,个人消费者,食品饮料,坚果零食,169.62,19,0.1,2900.5,498.89,0.172,周伟,支付宝
ORD-202500096,2024-03-07,2024-03-14,标准快递,华北,北京,C01079,徐杰丽,教育机构,食品饮料,矿泉水,45.81,38,0,1740.78,-132.47,-0.0761,陈静,信用卡
ORD-202500289,2024-03-07,2024-03-10,自提,华南,东莞,C01092,李涛,教育机构,家居用品,收纳盒,475.76,39,0,18554.64,3571.77,0.1925,郑丽,信用卡
ORD-202500325,2024-03-07,2024-03-11,京东物流,东北,哈尔滨,C01005,孙杰娟,企业客户,家居用品,暖风机,280.82,42,0.15,10025.27,2949.43,0.2942,陈静,货到付款
ORD-202400293,2024-03-08,2024-03-11,标准快递,西北,银川,C01052,赵强强,企业客户,家居用品,扫地机器人,2558.35,37,0,94658.95,-2063.57,-0.0218,张明,微信支付
ORD-202500824,2024-03-08,2024-03-15,专线物流,西北,西安,C01178,朱伟艳,教育机构,家居用品,暖风机,2010.84,39,0.1,70580.48,-2985.55,-0.0423,张明,信用卡
ORD-202400042,2024-03-09,2024-03-10,标准快递,东北,沈阳,C01143,黄伟,政府机构,电子产品,智能手表,817.69,48,0.1,35324.21,9371.51,0.2653,孙磊,对公转账
ORD-202400991,2024-03-09,2024-03-10,京东物流,西南,贵阳,C01091,马超,政府机构,办公用品,文件夹,49.77,9,0,447.93,109.92,0.2454,周伟,信用卡
ORD-202500182,2024-03-09,2024-03-13,专线物流,西南,南宁,C01162,黄强静,政府机构,家居用品,暖风机,559.0,27,0.1,13583.7,2390.73,0.176,陈静,微信支付
ORD-202500466,2024-03-09,2024-03-12,自提,西北,银川,C01107,周娜强,教育机构,服装鞋帽,外套,325.88,34,0.2,8863.94,2318.81,0.2616,刘洋,支付宝
ORD-202500743,2024-03-09,2024-03-16,顺丰速运,东北,哈尔滨,C01050,杨磊,个人消费者,电子产品,智能手表,7495.77,44,0.25,247360.41,4526.7,0.0183,吴敏,微信支付
ORD-202400870,2024-03-10,2024-03-13,标准快递,华东,合肥,C01181,杨洋,企业客户,服装鞋帽,裤子,795.62,41,0.05,30989.4,3920.16,0.1265,张明,微信支付
ORD-202400223,2024-03-11,2024-03-16,自提,西南,成都,C01039,周丽艳,企业客户,服装鞋帽,围巾,370.03,23,0.05,8085.16,1476.35,0.1826,吴敏,对公转账
ORD-202400242,2024-03-11,2024-03-15,专线物流,东北,哈尔滨,C01075,吴涛,政府机构,办公用品,笔记本,47.76,30,0,1432.8,94.56,0.066,郑丽,银行卡
ORD-202500067,2024-03-12,2024-03-16,京东物流,华东,苏州,C01199,徐丽,政府机构,办公用品,笔记本,162.01,23,0.15,3167.3,-203.02,-0.0641,郑丽,信用卡
ORD-202500487,2024-03-12,2024-03-16,顺丰速运,华中,合肥,C01023,刘娜强,教育机构,电子产品,耳机,3360.01,26,0,87360.26,12807.01,0.1466,王芳,信用卡
ORD-202400227,2024-03-13,2024-03-18,顺丰速运,华东,南京,C01175,陈娜,企业客户,办公用品,文件夹,196.48,37,0.15,6179.3,397.95,0.0644,李华,信用卡
ORD-202400541,2024-03-13,2024-03-16,标准快递,西南,昆明,C01013,徐强涛,个人消费者,服装鞋帽,裤子,148.92,2,0.2,238.27,73.03,0.3065,张明,信用卡
ORD-202500407,2024-03-13,2024-03-19,京东物流,华东,上海,C01190,张强敏,教育机构,家居用品,扫地机器人,1480.95,12,0.25,13328.55,630.44,0.0473,周伟,货到付款
ORD-202500878,2024-03-13,2024-03-17,自提,华东,苏州,C01054,朱超芳,个人消费者,电子产品,笔记本电脑,6668.57,35,0.25,175049.96,46108.16,0.2634,赵强,银行卡
ORD-202500969,2024-03-13,2024-03-14,专线物流,华东,苏州,C01110,刘强磊,教育机构,食品饮料,饼干,188.29,1,0,188.29,14.87,0.079,李华,支付宝
ORD-202400556,2024-03-14,2024-03-20,自提,华东,杭州,C01107,周娜强,教育机构,食品饮料,果汁,89.04,9,0,801.36,-30.69,-0.0383,郑丽,货到付款
ORD-202500652,2024-03-14,2024-03-20,标准快递,华中,长沙,C01184,马勇磊,教育机构,家居用品,空气净化器,2879.42,37,0,106538.54,20593.9,0.1933,张明,货到付款
ORD-202500133,2024-03-15,2024-03-22,专线物流,西南,南宁,C01021,刘芳强,企业客户,电子产品,平板电脑,7849.4,27,0.3,148353.66,34521.9,0.2327,王芳,信用卡
ORD-202500403,2024-03-15,2024-03-21,标准快递,华南,佛山,C01053,杨娜敏,企业客户,家居用品,电风扇,1932.05,1,0,1932.05,608.4,0.3149,张明,银行卡
ORD-202500282,2024-03-16,2024-03-20,京东物流,西北,银川,C01116,赵洋,教育机构,家居用品,扫地机器人,802.2,19,0.2,12193.44,595.04,0.0488,刘洋,对公转账
ORD-202500680,2024-03-16,2024-03-18,顺丰速运,西南,南宁,C01141,黄静静,政府机构,电子产品,平板电脑,4224.35,6,0.1,22811.49,399.2,0.0175,张明,微信支付
ORD-202400012,2024-03-17,2024-03-21,专线物流,东北,哈尔滨,C01173,赵娟洋,政府机构,办公用品,订书机,347.89,42,0,14611.38,4139.4,0.2833,陈静,信用卡
ORD-202400249,2024-03-17,2024-03-22,自提,西南,成都,C01081,徐磊丽,个人消费者,食品饮料,果汁,192.95,16,0.1,2778.48,48.35,0.0174,陈静,货到付款
ORD-202500072,2024-03-17,2024-03-20,自提,华北,青岛,C01150,吴杰超,教育机构,服装鞋帽,背包,1634.35,18,0,29418.3,9302.07,0.3162,王芳,支付宝
ORD-202500738,2024-03-17,2024-03-18,专线物流,西北,兰州,C01097,刘丽芳,政府机构,服装鞋帽,外套,1655.94,2,0,3311.88,1077.69,0.3254,郑丽,支付宝
ORD-202500926,2024-03-17,2024-03-20,标准快递,华东,宁波,C01024,胡艳磊,企业客户,电子产品,智能手表,3491.16,43,0.15,127601.9,11471.41,0.0899,周伟,支付宝
ORD-202500504,2024-03-18,2024-03-21,顺丰速运,华中,武汉,C01117,杨超,教育机构,办公用品,碎纸机,22.32,8,0.1,160.7,-5.82,-0.0362,张明,支付宝
ORD-202400093,2024-03-19,2024-03-24,顺丰速运,华南,厦门,C01007,孙磊静,企业客户,办公用品,签字笔,160.62,18,0.05,2746.6,912.42,0.3322,孙磊,信用卡
ORD-202400855,2024-03-19,2024-03-26,标准快递,华东,合肥,C01119,胡涛,教育机构,办公用品,签字笔,228.21,17,0.05,3685.59,470.65,0.1277,吴敏,支付宝
ORD-202500630,2024-03-19,2024-03-21,自提,东北,沈阳,C01030,王敏,教育机构,电子产品,笔记本电脑,574.56,50,0.1,25855.2,8643.39,0.3343,李华,银行卡
ORD-202500709,2024-03-19,2024-03-20,专线物流,东北,长春,C01185,刘丽艳,政府机构,办公用品,签字笔,52.18,33,0.15,1463.65,366.64,0.2505,张明,支付宝
ORD-202400391,2024-03-20,2024-03-25,标准快递,华北,太原,C01155,朱洋芳,政府机构,家居用品,电风扇,1235.35,23,0.2,22730.44,5834.9,0.2567,王芳,对公转账
ORD-202500158,2024-03-20,2024-03-25,自提,华中,武汉,C01175,陈娜,企业客户,服装鞋帽,T恤,512.11,21,0.3,7528.02,505.13,0.0671,周伟,支付宝
ORD-202400087,2024-03-21,2024-03-25,自提,西南,重庆,C01079,徐杰丽,教育机构,服装鞋帽,外套,676.36,6,0.1,3652.34,720.97,0.1974,周伟,对公转账
ORD-202400128,2024-03-21,2024-03-24,京东物流,华中,郑州,C01179,黄洋,个人消费者,食品饮料,咖啡,42.81,35,0.1,1348.52,431.39,0.3199,李华,微信支付
ORD-202400233,2024-03-21,2024-03-26,顺丰速运,华南,深圳,C01112,马超,个人消费者,服装鞋帽,外套,811.93,41,0,33289.13,1318.25,0.0396,赵强,支付宝
ORD-202400543,2024-03-21,2024-03-28,自提,东北,长春,C01080,刘超,个人消费者,服装鞋帽,运动鞋,231.19,45,0.2,8322.84,-467.74,-0.0562,赵强,信用卡
ORD-202500934,2024-03-21,2024-03-26,京东物流,东北,沈阳,C01131,杨伟强,教育机构,服装鞋帽,外套,1872.32,5,0.2,7489.28,468.08,0.0625,吴敏,支付宝
ORD-202400077,2024-03-22,2024-03-23,京东物流,华北,天津,C01199,徐丽,政府机构,家居用品,电风扇,2822.47,39,0.25,82557.25,7471.43,0.0905,刘洋,微信支付
ORD-202500155,2024-03-22,2024-03-25,顺丰速运,西南,南宁,C01127,孙敏强,政府机构,办公用品,打印纸,223.02,17,0.1,3412.21,57.33,0.0168,王芳,微信支付
ORD-202500628,2024-03-22,2024-03-25,京东物流,西北,兰州,C01075,吴涛,政府机构,食品饮料,矿泉水,22.59,48,0.1,975.89,-23.32,-0.0239,王芳,信用卡
ORD-202500644,2024-03-22,2024-03-29,标准快递,西北,乌鲁木齐,C01108,徐娟,政府机构,服装鞋帽,围巾,630.21,26,0,16385.46,661.97,0.0404,陈静,货到付款
ORD-202500745,2024-03-22,2024-03-26,顺丰速运,华东,杭州,C01029,徐超勇,政府机构,家居用品,暖风机,331.92,39,0,12944.88,-1291.9,-0.0998,赵强,信用卡
ORD-202500773,2024-03-22,2024-03-28,自提,西北,乌鲁木齐,C01088,陈涛勇,企业客户,家居用品,电风扇,2291.65,47,0.2,86166.04,-1714.7,-0.0199,郑丽,微信支付
ORD-202400171,2024-03-23,2024-03-29,顺丰速运,东北,沈阳,C01003,吴磊,个人消费者,电子产品,智能手表,3065.15,36,0.2,88276.32,-6594.24,-0.0747,吴敏,支付宝
ORD-202400595,2024-03-23,2024-03-24,自提,华东,杭州,C01198,吴敏,企业客户,电子产品,充电器,5231.46,19,0.15,84488.08,17919.92,0.2121,王芳,货到付款
ORD-202400887,2024-03-23,2024-03-28,自提,华南,佛山,C01137,朱洋,个人消费者,家居用品,扫地机器人,1297.81,45,0.1,52561.31,6585.93,0.1253,刘洋,对公转账
ORD-202400384,2024-03-24,2024-03-31,专线物流,华北,天津,C01005,孙杰娟,企业客户,服装鞋帽,运动鞋,563.31,41,0,23095.71,5249.65,0.2273,张明,货到付款
ORD-202400563,2024-03-25,2024-03-27,标准快递,西南,成都,C01004,赵强,企业客户,办公用品,笔记本,70.61,18,0.1,1143.88,327.15,0.286,王芳,对公转账
ORD-202500246,2024-03-25,2024-03-28,自提,西北,西安,C01130,王磊磊,教育机构,食品饮料,乳制品,161.96,11,0.1,1603.4,-67.5,-0.0421,吴敏,货到付款
ORD-202500399,2024-03-25,2024-03-29,京东物流,华东,苏州,C01198,吴敏,企业客户,电子产品,平板电脑,4511.96,40,0.15,153406.64,5783.43,0.0377,张明,货到付款
ORD-202500605,2024-03-25,2024-03-26,顺丰速运,华东,上海,C01179,黄洋,个人消费者,电子产品,笔记本电脑,4345.95,32,0,139070.4,44572.06,0.3205,张明,支付宝
ORD-202500951,2024-03-25,2024-03-27,专线物流,东北,沈阳,C01170,陈娟洋,政府机构,电子产品,平板电脑,2691.71,10,0.1,24225.39,6022.43,0.2486,赵强,信用卡
ORD-202400402,2024-03-26,2024-03-29,专线物流,西南,南宁,C01031,张娟超,企业客户,食品饮料,茶叶,40.24,46,0,1851.04,296.35,0.1601,周伟,支付宝
ORD-202500755,2024-03-27,2024-04-02,京东物流,东北,大连,C01101,孙涛静,个人消费者,家居用品,收纳盒,1898.65,21,0,39871.65,-2440.14,-0.0612,陈静,支付宝
ORD-202400281,2024-03-28,2024-04-03,自提,华北,济南,C01134,朱超丽,企业客户,食品饮料,乳制品,119.18,36,0,4290.48,1194.47,0.2784,吴敏,对公转账
ORD-202400397,2024-03-28,2024-03-30,顺丰速运,华中,合肥,C01150,吴杰超,教育机构,食品饮料,乳制品,97.89,15,0.15,1248.1,212.68,0.1704,孙磊,对公转账
ORD-202400709,2024-03-28,2024-03-29,专线物流,华中,长沙,C01189,张磊洋,政府机构,办公用品,白板,201.79,14,0.15,2401.3,525.4,0.2188,李华,银行卡
ORD-202500639,2024-03-28,2024-03-30,专线物流,东北,沈阳,C01127,孙敏强,政府机构,服装鞋帽,帽子,1144.75,8,0.3,6410.6,-249.37,-0.0389,陈静,对公转账
ORD-202400099,2024-03-29,2024-03-30,标准快递,华北,太原,C01082,张静,政府机构,食品饮料,饼干,83.93,27,0.3,1586.28,-105.96,-0.0668,吴敏,信用卡
ORD-202400234,2024-03-29,2024-04-02,顺丰速运,华东,苏州,C01182,李涛艳,个人消费者,服装鞋帽,帽子,157.31,43,0,6764.33,-313.19,-0.0463,张明,货到付款
ORD-202400542,2024-03-29,2024-04-02,京东物流,华中,长沙,C01080,刘超,个人消费者,服装鞋帽,帽子,1277.47,45,0.2,45988.92,8153.84,0.1773,孙磊,微信支付
ORD-202500225,2024-03-29,2024-03-31,标准快递,华北,济南,C01118,黄磊,个人消费者,电子产品,移动电源,1396.22,1,0.05,1326.41,248.17,0.1871,赵强,货到付款
ORD-202500529,2024-03-29,2024-04-02,京东物流,华北,济南,C01192,杨芳,企业客户,电子产品,智能手机,2000.85,46,0,92039.1,9627.29,0.1046,郑丽,微信支付
ORD-202500928,2024-03-29,2024-04-04,专线物流,华东,宁波,C01103,张娟,企业客户,家居用品,空气净化器,34.71,29,0.25,754.94,34.58,0.0458,刘洋,对公转账
ORD-202400097,2024-03-30,2024-04-06,顺丰速运,西北,乌鲁木齐,C01041,杨杰杰,教育机构,办公用品,白板,37.14,35,0.1,1169.91,352.26,0.3011,孙磊,银行卡
ORD-202400524,2024-03-30,2024-04-03,京东物流,西北,乌鲁木齐,C01160,胡洋强,教育机构,食品饮料,饼干,170.02,17,0.25,2167.76,344.24,0.1588,郑丽,微信支付
ORD-202400538,2024-03-30,2024-04-02,京东物流,华中,武汉,C01195,黄芳洋,教育机构,电子产品,耳机,6141.13,48,0.1,265296.82,-23850.18,-0.0899,赵强,货到付款
ORD-202500933,2024-03-30,2024-04-01,自提,华中,郑州,C01048,马洋涛,企业客户,食品饮料,乳制品,192.79,34,0.3,4588.4,695.6,0.1516,刘洋,支付宝
ORD-202400054,2024-03-31,2024-04-04,京东物流,东北,沈阳,C01080,刘超,个人消费者,家居用品,加湿器,1778.95,34,0,60484.3,4723.82,0.0781,陈静,微信支付
ORD-202400222,2024-04-01,2024-04-07,顺丰速运,东北,沈阳,C01193,胡敏,个人消费者,电子产品,平板电脑,2972.12,20,0,59442.4,4291.74,0.0722,王芳,货到付款
ORD-202400553,2024-04-01,2024-04-06,标准快递,华东,合肥,C01141,黄静静,政府机构,服装鞋帽,裤子,1702.89,19,0,32354.91,2141.9,0.0662,孙磊,支付宝
ORD-202400706,2024-04-01,2024-04-04,标准快递,华南,厦门,C01127,孙敏强,政府机构,电子产品,智能手机,5762.74,28,0.2,129085.38,35149.95,0.2723,赵强,微信支付
ORD-202400889,2024-04-01,2024-04-02,顺丰速运,西北,乌鲁木齐,C01002,赵娜,个人消费者,家居用品,空气净化器,2253.73,48,0.15,91952.18,19732.94,0.2146,张明,信用卡
ORD-202500365,2024-04-01,2024-04-04,标准快递,华北,济南,C01026,朱芳,教育机构,服装鞋帽,围巾,1620.05,15,0.1,21870.67,5968.51,0.2729,周伟,货到付款
ORD-202500837,2024-04-02,2024-04-06,京东物流,华南,佛山,C01172,王娟,企业客户,服装鞋帽,T恤,1111.53,34,0,37792.02,10037.56,0.2656,李华,信用卡
ORD-202400048,2024-04-03,2024-04-09,专线物流,西南,重庆,C01084,王芳,个人消费者,食品饮料,坚果零食,92.37,11,0.1,914.46,36.76,0.0402,李华,对公转账
ORD-202500678,2024-04-03,2024-04-10,专线物流,西南,成都,C01029,徐超勇,政府机构,家居用品,台灯,712.32,45,0.25,24040.8,7868.55,0.3273,周伟,信用卡
ORD-202500763,2024-04-03,2024-04-06,顺丰速运,华南,深圳,C01169,周勇静,政府机构,服装鞋帽,裤子,922.78,31,0.05,27175.87,3878.0,0.1427,郑丽,支付宝
ORD-202400248,2024-04-05,2024-04-06,顺丰速运,华南,厦门,C01130,王磊磊,教育机构,食品饮料,果汁,179.43,30,0,5382.9,868.26,0.1613,周伟,货到付款
ORD-202400522,2024-04-05,2024-04-12,京东物流,华北,石家庄,C01017,吴杰,企业客户,办公用品,签字笔,411.03,49,0.15,17119.4,4784.87,0.2795,王芳,信用卡
ORD-202500922,2024-04-05,2024-04-08,专线物流,华东,宁波,C01022,徐洋磊,企业客户,家居用品,电风扇,889.41,21,0.05,17743.73,3344.69,0.1885,张明,对公转账
ORD-202400063,2024-04-06,2024-04-11,标准快递,西北,银川,C01086,李伟敏,个人消费者,办公用品,笔记本,363.25,43,0.3,10933.82,3203.61,0.293,王芳,对公转账
ORD-202500086,2024-04-06,2024-04-08,标准快递,西南,南宁,C01175,陈娜,企业客户,食品饮料,果汁,63.15,45,0.05,2699.66,-63.17,-0.0234,王芳,微信支付
ORD-202500748,2024-04-06,2024-04-10,自提,华北,石家庄,C01102,杨超,政府机构,电子产品,笔记本电脑,3641.32,44,0.1,144196.27,39567.46,0.2744,李华,对公转账
ORD-202400710,2024-04-07,2024-04-12,标准快递,华东,上海,C01154,周杰,教育机构,办公用品,文件夹,238.11,23,0.3,3833.57,1237.09,0.3227,刘洋,支付宝
ORD-202500853,2024-04-07,2024-04-14,专线物流,西南,成都,C01153,陈勇磊,个人消费者,家居用品,空气净化器,2062.51,49,0.3,70744.09,11120.97,0.1572,吴敏,对公转账
ORD-202500975,2024-04-07,2024-04-08,专线物流,华东,宁波,C01002,赵娜,个人消费者,电子产品,耳机,366.68,27,0,9900.36,596.99,0.0603,周伟,对公转账
ORD-202400670,2024-04-08,2024-04-15,自提,华东,宁波,C01128,陈超,企业客户,服装鞋帽,背包,1009.77,30,0.05,28778.44,923.79,0.0321,刘洋,对公转账
ORD-202400890,2024-04-09,2024-04-10,顺丰速运,东北,长春,C01096,张杰强,政府机构,服装鞋帽,裤子,1326.32,47,0.15,52986.48,-1229.29,-0.0232,王芳,货到付款
ORD-202500825,2024-04-09,2024-04-11,自提,华中,武汉,C01094,赵丽超,政府机构,家居用品,空气净化器,596.55,23,0.25,10290.49,483.65,0.047,王芳,银行卡
ORD-202400076,2024-04-11,2024-04-18,自提,西北,乌鲁木齐,C01121,周强,教育机构,家居用品,收纳盒,143.76,31,0,4456.56,1076.26,0.2415,张明,对公转账
ORD-202500037,2024-04-11,2024-04-12,专线物流,东北,沈阳,C01193,胡敏,个人消费者,电子产品,充电器,180.59,27,0,4875.93,601.69,0.1234,李华,对公转账
ORD-202400381,2024-04-12,2024-04-15,专线物流,西南,成都,C01178,朱伟艳,教育机构,家居用品,空气净化器,1473.01,22,0.3,22684.35,4462.01,0.1967,郑丽,微信支付
ORD-202400698,2024-04-12,2024-04-19,京东物流,华南,福州,C01141,黄静静,政府机构,办公用品,订书机,37.85,27,0.3,715.37,163.25,0.2282,张明,信用卡
ORD-202500669,2024-04-12,2024-04-13,自提,西南,南宁,C01193,胡敏,个人消费者,家居用品,电风扇,854.68,28,0.1,21537.94,6905.06,0.3206,王芳,对公转账
ORD-202400068,2024-04-13,2024-04-18,专线物流,东北,沈阳,C01047,赵勇娜,企业客户,办公用品,碎纸机,310.93,39,0.15,10307.33,-315.4,-0.0306,吴敏,微信支付
